,Sample Number,Area Proportion of Inclusions Occurring in Discontinuous Array,Quenching Media Temperature (for Carburization),Diffusion time,Fatigue Strength,Through Hardening Time,Cooling Rate for Tempering,Reduction Ratio (Ingot to Bar),Normalizing Temperature,Diffusion Temperature,Carburization Time,Cooling Rate for Through Hardening,Area Proportion of Inclusions Deformed by Plastic Work,Tempering Temperature,Area Proportion of Isolated Inclusions,Tempering Time,Carburization Temperature,Through Hardening Temperature,chemical_formula
0,228.0,0.0,30.0,0.0,451.0,30.0,24.0,530.0,870.0,30.0,0.0,8.0,0.02,550.0,0.01,60.0,30.0,845.0,Fe0.9759C0.004Mn0.0156Cu0.0005Si0.0022P0.00011S0.00019Ni0.0006Cr0.0009
1,193.0,0.0,30.0,0.0,631.0,30.0,24.0,510.0,870.0,30.0,0.0,8.0,0.04,550.0,0.03,60.0,30.0,855.0,Fe0.97088C0.004Mn0.0074Cu0.001Si0.0025P0.00014S0.00028Mo0.0018Ni0.0024Cr0.0096
2,233.0,0.0,30.0,0.0,406.0,30.0,24.0,610.0,870.0,30.0,0.0,8.0,0.03,600.0,0.01,60.0,30.0,845.0,Fe0.97588C0.0038Mn0.0152Cu0.0007Si0.0027P0.00012Ni0.0003Cr0.0013
3,22.0,0.0,30.0,0.0,433.0,30.0,24.0,1740.0,865.0,30.0,0.0,24.0,0.1,550.0,0.0,60.0,30.0,865.0,Fe0.98575C0.0037Mn0.0072Cu0.0002Si0.0024P0.00015S0.0002Ni0.0002Cr0.0002
4,240.0,0.0,30.0,0.0,385.0,30.0,24.0,610.0,870.0,30.0,0.0,8.0,0.03,650.0,0.01,60.0,30.0,845.0,Fe0.97588C0.0038Mn0.0152Cu0.0007Si0.0027P0.00012Ni0.0003Cr0.0013
5,29.0,0.01,30.0,0.0,394.0,30.0,24.0,610.0,865.0,30.0,0.0,24.0,0.06,600.0,0.01,60.0,30.0,865.0,Fe0.9834C0.0038Mn0.007Cu0.0011Si0.0029S0.0003Ni0.0006Cr0.0009
6,54.0,0.0,30.0,0.0,465.0,30.0,24.0,610.0,845.0,30.0,0.0,24.0,0.04,550.0,0.03,60.0,30.0,845.0,Fe0.98335C0.0047Mn0.0072Cu0.0004Si0.0025P0.00015Ni0.0013Cr0.0004
7,157.0,0.0,30.0,0.0,550.0,30.0,24.0,740.0,870.0,30.0,0.0,8.0,0.02,600.0,0.01,60.0,30.0,855.0,Fe0.97224C0.0036Mn0.0074Cu0.0012Si0.0035P0.00016S0.0002Mo0.0015Ni0.0005Cr0.0097
8,377.0,0.0,30.0,0.0,770.0,30.0,24.0,1455.0,845.0,30.0,0.0,8.0,0.07,500.0,0.01,60.0,30.0,845.0,Fe0.96007C0.0061Mn0.0086Cu0.0012Si0.0205P0.00019S0.00014Ni0.0016Cr0.0016
9,69.0,0.01,30.0,0.0,422.0,30.0,24.0,1270.0,845.0,30.0,0.0,24.0,0.04,600.0,0.0,60.0,30.0,845.0,Fe0.98496C0.0042Mn0.007Si0.0026P0.00024Cr0.001
10,116.0,0.0,30.0,0.0,583.0,30.0,24.0,1120.0,870.0,30.0,0.0,8.0,0.02,550.0,0.03,60.0,30.0,855.0,Fe0.97198C0.004Mn0.0078Cu0.0013Si0.0031P0.00012Ni0.0007Cr0.011
11,218.0,0.01,30.0,0.0,505.0,30.0,24.0,500.0,870.0,30.0,0.0,8.0,0.09,650.0,0.01,60.0,30.0,855.0,Fe0.97028C0.0042Mn0.0077Cu0.0009Si0.0029P0.00015S0.00017Mo0.0015Ni0.0012Cr0.011
12,214.0,0.0,30.0,0.0,517.0,30.0,24.0,510.0,870.0,30.0,0.0,8.0,0.04,650.0,0.01,60.0,30.0,855.0,Fe0.97181C0.0041Mn0.008Cu0.001Si0.0024P0.00015S0.00024Mo0.0018Ni0.0003Cr0.0102
13,11.0,0.0,30.0,0.0,255.0,0.0,0.0,1740.0,885.0,30.0,0.0,0.0,0.11,30.0,0.0,0.0,30.0,30.0,Fe0.98887C0.0023Mn0.0051Cu0.0003Si0.0026P0.00029S0.00024Cr0.0003
14,121.0,0.0,30.0,0.0,562.0,30.0,24.0,1120.0,870.0,30.0,0.0,8.0,0.02,550.0,0.01,60.0,30.0,855.0,Fe0.97286C0.004Mn0.0079Cu0.0004Si0.0032P0.00013S0.00011Ni0.0005Cr0.0109
15,286.0,0.0,30.0,0.0,537.0,30.0,24.0,700.0,900.0,30.0,0.0,8.0,0.01,550.0,0.01,60.0,30.0,845.0,Fe0.95438C0.0031Mn0.0056Cu0.001Si0.0022P0.00016S0.00016Ni0.0263Cr0.0071
16,366.0,0.0,30.0,0.0,471.0,30.0,24.0,740.0,870.0,30.0,0.0,8.0,0.03,680.0,0.01,60.0,30.0,845.0,Fe0.95909C0.0047Mn0.0072Cu0.0006Si0.0028P0.00011Ni0.0176Cr0.0079
17,140.0,0.0,30.0,0.0,578.0,30.0,24.0,1120.0,870.0,30.0,0.0,8.0,0.0,550.0,0.01,60.0,30.0,855.0,Fe0.97298C0.0036Mn0.0079Cu0.0004Si0.0027P0.00012Mo0.0017Ni0.0003Cr0.0103
18,65.0,0.0,30.0,0.0,442.0,30.0,24.0,610.0,845.0,30.0,0.0,24.0,0.04,600.0,0.03,60.0,30.0,845.0,Fe0.98335C0.0047Mn0.0072Cu0.0004Si0.0025P0.00015Ni0.0013Cr0.0004
19,293.0,0.01,30.0,0.0,510.0,30.0,24.0,700.0,900.0,30.0,0.0,8.0,0.01,600.0,0.03,60.0,30.0,845.0,Fe0.9544C0.0032Mn0.0058Cu0.0006Si0.0024Ni0.0265Cr0.0071
20,405.0,0.0,60.0,34.8,956.0,0.0,0.5,390.0,930.0,895.5169999999998,450.0,0.0,0.046,160.0,0.0,120.0,930.0,30.0,Fe0.97338C0.002Mn0.0077Cu0.002Si0.0032P0.00024S0.00028Mo0.0019Ni0.0046Cr0.0047
21,250.0,0.0,30.0,0.0,551.0,30.0,24.0,1510.0,870.0,30.0,0.0,8.0,0.0,550.0,0.03,60.0,30.0,845.0,Fe0.97675C0.0042Mn0.0151Si0.0021P0.00026S0.00019Ni0.0002Cr0.0012
22,30.0,0.02,30.0,0.0,425.0,30.0,24.0,1270.0,865.0,30.0,0.0,24.0,0.08,600.0,0.0,60.0,30.0,865.0,Fe0.98484C0.0033Mn0.0076Cu0.0003Si0.0026P0.00023S0.00013Cr0.001
23,299.0,0.0,30.0,0.0,536.0,30.0,24.0,700.0,900.0,30.0,0.0,8.0,0.01,600.0,0.01,60.0,30.0,845.0,Fe0.9523C0.0034Mn0.0065Cu0.0005Si0.0026Ni0.0263Cr0.0084
24,55.0,0.0,30.0,0.0,475.0,30.0,24.0,1740.0,845.0,30.0,0.0,24.0,0.06,550.0,0.0,60.0,30.0,845.0,Fe0.98367C0.0043Mn0.0083Si0.0022P0.00017S0.00016Cr0.0012
25,154.0,0.0,30.0,0.0,524.0,30.0,24.0,1120.0,870.0,30.0,0.0,8.0,0.0,600.0,0.01,60.0,30.0,855.0,Fe0.97298C0.0036Mn0.0079Cu0.0004Si0.0027P0.00012Mo0.0017Ni0.0003Cr0.0103
26,345.0,0.0,30.0,0.0,480.0,30.0,24.0,1290.0,870.0,30.0,0.0,8.0,0.06,680.0,0.0,60.0,30.0,845.0,Fe0.95787C0.004Mn0.0073Cu0.0008Si0.0033P0.00011S0.00012Mo0.002Ni0.0171Cr0.0074
27,429.0,0.0,60.0,70.2,1144.0,0.0,0.5,690.0,930.0,895.812,340.2,0.0,0.08,160.0,0.0,120.0,930.0,30.0,Fe0.97169C0.0021Mn0.0081Cu0.0007Si0.0031P0.00012S0.00019Mo0.0017Ni0.0006Cr0.0117
28,363.0,0.0,30.0,0.0,537.0,30.0,24.0,640.0,870.0,30.0,0.0,8.0,0.01,630.0,0.0,60.0,30.0,845.0,Fe0.96154C0.0045Mn0.0079Cu0.0005Si0.0016S0.00016Ni0.0165Cr0.0073
29,160.0,0.0,30.0,0.0,546.0,30.0,24.0,1740.0,870.0,30.0,0.0,8.0,0.05,600.0,0.0,60.0,30.0,855.0,Fe0.97387C0.0035Mn0.0071Cu0.0002Si0.0025P0.0002S0.00013Mo0.0017Ni0.0002Cr0.0106
30,16.0,0.0,30.0,0.0,426.0,30.0,24.0,825.0,865.0,30.0,0.0,24.0,0.08,550.0,0.0,60.0,30.0,865.0,Fe0.9861C0.0033Mn0.0075Cu0.0002Si0.0021P0.00031S0.00019Cr0.0003
31,101.0,0.0,30.0,0.0,464.0,30.0,24.0,1740.0,825.0,30.0,0.0,24.0,0.09,600.0,0.0,60.0,30.0,825.0,Fe0.98288C0.0052Mn0.008Cu0.0002Si0.0021P0.00021S0.00021Ni0.0002Cr0.001
32,190.0,0.0,30.0,0.0,585.0,30.0,24.0,500.0,870.0,30.0,0.0,8.0,0.1,550.0,0.0,60.0,30.0,855.0,Fe0.97099C0.004Mn0.0074Cu0.0015Si0.0026P0.00024S0.00017Mo0.0017Ni0.0013Cr0.0101
33,203.0,0.01,30.0,0.0,583.0,30.0,24.0,500.0,870.0,30.0,0.0,8.0,0.09,600.0,0.01,60.0,30.0,855.0,Fe0.97028C0.0042Mn0.0077Cu0.0009Si0.0029P0.00015S0.00017Mo0.0015Ni0.0012Cr0.011
34,209.0,0.0,30.0,0.0,578.0,30.0,24.0,1740.0,870.0,30.0,0.0,8.0,0.04,600.0,0.0,60.0,30.0,855.0,Fe0.97221C0.0044Mn0.0075Cu0.0002Si0.0026P0.00017S0.00012Mo0.0021Ni0.0002Cr0.0105
35,206.0,0.01,30.0,0.0,543.0,30.0,24.0,700.0,870.0,30.0,0.0,8.0,0.07,600.0,0.0,60.0,30.0,855.0,Fe0.97034C0.004Mn0.0087Cu0.0011Si0.0025P0.00011S0.00015Mo0.0018Ni0.0007Cr0.0106
36,321.0,0.0,30.0,0.0,609.0,30.0,24.0,640.0,870.0,30.0,0.0,8.0,0.03,580.0,0.0,60.0,30.0,845.0,Fe0.95722C0.0039Mn0.0071Cu0.0009Si0.0025P0.00015S0.00013Mo0.0023Ni0.0176Cr0.0082
37,361.0,0.0,30.0,0.0,556.0,30.0,24.0,640.0,870.0,30.0,0.0,8.0,0.02,630.0,0.0,60.0,30.0,845.0,Fe0.96114C0.0047Mn0.0076Cu0.0006Si0.0019P0.00013S0.00013Ni0.0167Cr0.0071
38,181.0,0.0,30.0,0.0,581.0,30.0,24.0,500.0,870.0,30.0,0.0,8.0,0.08,550.0,0.01,60.0,30.0,855.0,Fe0.97111C0.0039Mn0.0086Cu0.0012Si0.0027P0.00019Mo0.0017Ni0.001Cr0.0096
39,4.0,0.0,30.0,0.0,241.0,0.0,0.0,1740.0,885.0,30.0,0.0,0.0,0.06,30.0,0.0,0.0,30.0,30.0,Fe0.98938C0.0026Mn0.0051Si0.0023P0.00018S0.00024Cr0.0002
40,433.0,0.01,140.0,70.2,1030.0,0.0,0.5,240.0,930.0,895.812,340.2,0.0,0.05,160.0,0.0,120.0,930.0,30.0,Fe0.97761C0.0021Mn0.0065Si0.0026P0.00015S0.00024Mo0.0015Ni0.0002Cr0.0091
41,161.0,0.0,30.0,0.0,535.0,30.0,24.0,640.0,870.0,30.0,0.0,8.0,0.03,600.0,0.0,60.0,30.0,855.0,Fe0.97435C0.0033Mn0.0069Cu0.0005Si0.0027P0.00015Mo0.0018Ni0.0004Cr0.0099
42,146.0,0.0,30.0,0.0,583.0,30.0,24.0,1740.0,870.0,30.0,0.0,8.0,0.05,550.0,0.0,60.0,30.0,855.0,Fe0.97387C0.0035Mn0.0071Cu0.0002Si0.0025P0.0002S0.00013Mo0.0017Ni0.0002Cr0.0106
43,120.0,0.0,30.0,0.0,565.0,30.0,24.0,820.0,870.0,30.0,0.0,8.0,0.03,550.0,0.02,60.0,30.0,855.0,Fe0.9751C0.0042Mn0.0078Cu0.0005Si0.0026Ni0.0004Cr0.0094
44,427.0,0.01,60.0,49.8,1006.0,0.0,0.5,240.0,930.0,881.807,90.0,0.0,0.05,160.0,0.0,120.0,930.0,30.0,Fe0.97761C0.0021Mn0.0065Si0.0026P0.00015S0.00024Mo0.0015Ni0.0002Cr0.0091
45,396.0,0.0,140.0,15.0,1054.0,0.0,0.5,440.0,930.0,850.0,540.0,0.0,0.008,160.0,0.0,120.0,930.0,30.0,Fe0.96359C0.0021Mn0.0062Cu0.0007Si0.0029P0.00015S0.00016Mo0.0021Ni0.0162Cr0.0059
46,163.0,0.0,30.0,0.0,542.0,30.0,24.0,500.0,870.0,30.0,0.0,8.0,0.05,600.0,0.02,60.0,30.0,855.0,Fe0.97153C0.0037Mn0.0076Cu0.0012Si0.0029P0.00017Mo0.0016Ni0.0012Cr0.0101
47,7.0,0.01,30.0,0.0,255.0,0.0,0.0,1270.0,885.0,30.0,0.0,0.0,0.08,30.0,0.0,0.0,30.0,30.0,Fe0.98861C0.0028Mn0.005Si0.0027P0.00021S0.00018Ni0.0002Cr0.0003
48,413.0,0.0,60.0,34.8,1053.0,0.0,0.5,690.0,930.0,895.5169999999998,450.0,0.0,0.06,200.0,0.0,120.0,930.0,30.0,Fe0.97316C0.0018Mn0.0076Cu0.0012Si0.0026S0.00014Mo0.0017Ni0.0056Cr0.0062
49,152.0,0.0,30.0,0.0,552.0,30.0,24.0,820.0,870.0,30.0,0.0,8.0,0.08,600.0,0.01,60.0,30.0,855.0,Fe0.97167C0.0036Mn0.0073Cu0.0019Si0.003P0.00017S0.00016Mo0.0016Ni0.0005Cr0.0101
50,296.0,0.0,30.0,0.0,518.0,30.0,24.0,700.0,900.0,30.0,0.0,8.0,0.01,600.0,0.01,60.0,30.0,845.0,Fe0.95438C0.0031Mn0.0056Cu0.001Si0.0022P0.00016S0.00016Ni0.0263Cr0.0071
51,150.0,0.0,30.0,0.0,536.0,30.0,24.0,1120.0,870.0,30.0,0.0,8.0,0.03,550.0,0.02,60.0,30.0,855.0,Fe0.97103C0.0038Mn0.008Cu0.0012Si0.0027P0.00015S0.00012Mo0.0016Ni0.0007Cr0.0107
52,106.0,0.0,30.0,0.0,398.0,30.0,24.0,660.0,825.0,30.0,0.0,24.0,0.06,650.0,0.0,60.0,30.0,825.0,Fe0.98485C0.0056Mn0.0037Cu0.0011Si0.0026P0.00019S0.00026Ni0.0004Cr0.0013
53,420.0,0.0,140.0,70.2,876.0,0.0,0.5,460.0,930.0,895.812,529.8,0.0,0.025,160.0,0.004,120.0,930.0,30.0,Fe0.97369C0.0021Mn0.0076Cu0.0014Si0.003P0.00021Mo0.0003Ni0.0008Cr0.0109
54,238.0,0.0,30.0,0.0,443.0,30.0,24.0,1740.0,870.0,30.0,0.0,8.0,0.06,600.0,0.01,60.0,30.0,845.0,Fe0.97871C0.004Mn0.0138Cu0.0002Si0.0025P0.00017S0.00012Ni0.0002Cr0.0003
55,311.0,0.0,30.0,0.0,497.0,30.0,24.0,1740.0,900.0,30.0,0.0,8.0,0.03,650.0,0.0,60.0,30.0,845.0,Fe0.95347C0.0032Mn0.0052Cu0.0006Si0.003P0.00013Ni0.0267Cr0.0077
56,17.0,0.01,30.0,0.0,426.0,30.0,24.0,610.0,865.0,30.0,0.0,24.0,0.06,550.0,0.01,60.0,30.0,865.0,Fe0.9834C0.0038Mn0.007Cu0.0011Si0.0029S0.0003Ni0.0006Cr0.0009
57,369.0,0.0,30.0,0.0,477.0,30.0,24.0,640.0,870.0,30.0,0.0,8.0,0.01,680.0,0.0,60.0,30.0,845.0,Fe0.96154C0.0045Mn0.0079Cu0.0005Si0.0016S0.00016Ni0.0165Cr0.0073
58,196.0,0.0,30.0,0.0,539.0,30.0,24.0,500.0,870.0,30.0,0.0,8.0,0.08,600.0,0.01,60.0,30.0,855.0,Fe0.97111C0.0039Mn0.0086Cu0.0012Si0.0027P0.00019Mo0.0017Ni0.001Cr0.0096
59,39.0,0.0,30.0,0.0,338.0,30.0,24.0,610.0,865.0,30.0,0.0,24.0,0.07,650.0,0.03,60.0,30.0,865.0,Fe0.98367C0.0036Mn0.007Cu0.0009Si0.0026S0.00023Ni0.0008Cr0.0012
60,185.0,0.0,30.0,0.0,566.0,30.0,24.0,700.0,870.0,30.0,0.0,8.0,0.03,550.0,0.0,60.0,30.0,855.0,Fe0.97288C0.0041Mn0.0074Cu0.0008Si0.0025P0.00013S0.00019Mo0.0016Ni0.0005Cr0.0099
61,24.0,0.03,30.0,0.0,382.0,30.0,24.0,825.0,865.0,30.0,0.0,24.0,0.05,600.0,0.0,60.0,30.0,865.0,Fe0.98607C0.0035Mn0.0077Cu0.0002Si0.0021P0.00021S0.00022
62,426.0,0.0,60.0,49.8,1074.0,0.0,0.5,690.0,930.0,881.807,90.0,0.0,0.08,160.0,0.0,120.0,930.0,30.0,Fe0.97169C0.0021Mn0.0081Cu0.0007Si0.0031P0.00012S0.00019Mo0.0017Ni0.0006Cr0.0117
63,32.0,0.01,30.0,0.0,393.0,30.0,24.0,1270.0,865.0,30.0,0.0,24.0,0.13,600.0,0.0,60.0,30.0,865.0,Fe0.98414C0.0037Mn0.0078Cu0.0002Si0.0027P0.00016S0.0002Cr0.0011
64,289.0,0.0,30.0,0.0,549.0,30.0,24.0,700.0,900.0,30.0,0.0,8.0,0.01,550.0,0.01,60.0,30.0,845.0,Fe0.9523C0.0034Mn0.0065Cu0.0005Si0.0026Ni0.0263Cr0.0084
65,220.0,0.0,30.0,0.0,496.0,30.0,24.0,500.0,870.0,30.0,0.0,8.0,0.1,650.0,0.0,60.0,30.0,855.0,Fe0.97099C0.004Mn0.0074Cu0.0015Si0.0026P0.00024S0.00017Mo0.0017Ni0.0013Cr0.0101
66,200.0,0.0,30.0,0.0,527.0,30.0,24.0,700.0,870.0,30.0,0.0,8.0,0.03,600.0,0.0,60.0,30.0,855.0,Fe0.97288C0.0041Mn0.0074Cu0.0008Si0.0025P0.00013S0.00019Mo0.0016Ni0.0005Cr0.0099
67,109.0,0.0,30.0,0.0,415.0,30.0,24.0,1270.0,825.0,30.0,0.0,24.0,0.09,650.0,0.0,60.0,30.0,825.0,Fe0.98155C0.0053Mn0.0083Si0.003P0.00019S0.00026Ni0.0002Cr0.0012
68,380.0,0.0,30.0,0.0,768.0,30.0,24.0,796.0,845.0,30.0,0.0,8.0,0.058,420.0,0.004,60.0,30.0,845.0,Fe0.97234C0.0062Mn0.0088Cu0.0012Si0.0029P0.00026Mo0.0003Ni0.0005Cr0.0075
69,117.0,0.0,30.0,0.0,569.0,30.0,24.0,1740.0,870.0,30.0,0.0,8.0,0.03,550.0,0.01,60.0,30.0,855.0,Fe0.9752C0.0042Mn0.0072Si0.0022P0.00016S0.00014Ni0.0003Cr0.0106
70,72.0,0.0,30.0,0.0,398.0,30.0,24.0,610.0,845.0,30.0,0.0,24.0,0.06,650.0,0.01,60.0,30.0,845.0,Fe0.9829C0.0045Mn0.0071Cu0.0013Si0.0024Ni0.0012Cr0.0006
71,103.0,0.0,30.0,0.0,419.0,30.0,24.0,1740.0,825.0,30.0,0.0,24.0,0.07,650.0,0.0,60.0,30.0,825.0,Fe0.9834C0.0055Mn0.0076Si0.0023P0.00018S0.00012Cr0.0009
72,379.0,0.0,30.0,0.0,855.0,30.0,24.0,289.0,845.0,30.0,0.0,8.0,0.05,420.0,0.0,60.0,30.0,845.0,Fe0.9753C0.0063Mn0.0077Cu0.0002Si0.0017P0.00026S0.00014Ni0.0003Cr0.0081
73,225.0,0.0,30.0,0.0,486.0,30.0,24.0,480.0,870.0,30.0,0.0,8.0,0.01,550.0,0.01,60.0,30.0,845.0,Fe0.97545C0.0039Mn0.0157Cu0.0006Si0.0022P0.00017S0.00018Ni0.0005Cr0.0013
74,372.0,0.0,30.0,0.0,781.0,30.0,24.0,721.0,845.0,30.0,0.0,8.0,0.017,430.0,0.021,60.0,30.0,845.0,Fe0.96251C0.006Mn0.0085Cu0.0012Si0.0196P0.00019Ni0.0005Cr0.0015
75,424.0,0.0,60.0,70.2,1120.0,0.0,0.5,690.0,930.0,895.812,499.8,0.0,0.07,200.0,0.01,120.0,930.0,30.0,Fe0.97469C0.0023Mn0.008Cu0.0007Si0.002P0.00013S0.00018Mo0.0002Ni0.0004Cr0.0114
76,164.0,0.0,30.0,0.0,592.0,30.0,24.0,1120.0,870.0,30.0,0.0,8.0,0.03,600.0,0.02,60.0,30.0,855.0,Fe0.97103C0.0038Mn0.008Cu0.0012Si0.0027P0.00015S0.00012Mo0.0016Ni0.0007Cr0.0107
77,149.0,0.0,30.0,0.0,573.0,30.0,24.0,500.0,870.0,30.0,0.0,8.0,0.05,550.0,0.02,60.0,30.0,855.0,Fe0.97153C0.0037Mn0.0076Cu0.0012Si0.0029P0.00017Mo0.0016Ni0.0012Cr0.0101
78,331.0,0.0,30.0,0.0,542.0,30.0,24.0,1290.0,870.0,30.0,0.0,8.0,0.06,630.0,0.0,60.0,30.0,845.0,Fe0.95787C0.004Mn0.0073Cu0.0008Si0.0033P0.00011S0.00012Mo0.002Ni0.0171Cr0.0074
79,243.0,0.01,30.0,0.0,380.0,30.0,24.0,610.0,870.0,30.0,0.0,8.0,0.02,650.0,0.02,60.0,30.0,845.0,Fe0.9748C0.0041Mn0.0151Cu0.0008Si0.0024P0.0002Ni0.0004Cr0.0022
80,281.0,0.0,30.0,0.0,399.0,30.0,24.0,480.0,870.0,30.0,0.0,8.0,0.02,650.0,0.0,60.0,30.0,845.0,Fe0.97538C0.0041Mn0.0158Cu0.0005Si0.0022P0.00014S0.00018Ni0.0004Cr0.0013
81,307.0,0.0,30.0,0.0,476.0,30.0,24.0,820.0,900.0,30.0,0.0,8.0,0.01,650.0,0.01,60.0,30.0,845.0,Fe0.9534C0.0033Mn0.0049Cu0.0006Si0.003Ni0.0266Cr0.0082
82,279.0,0.0,30.0,0.0,460.0,30.0,24.0,1100.0,870.0,30.0,0.0,8.0,0.03,650.0,0.0,60.0,30.0,845.0,Fe0.97276C0.0046Mn0.0149Cu0.001Si0.003P0.00014Ni0.001Cr0.0026
83,251.0,0.0,30.0,0.0,477.0,30.0,24.0,740.0,870.0,30.0,0.0,8.0,0.02,550.0,0.01,60.0,30.0,845.0,Fe0.974C0.0045Mn0.0158Cu0.0008Si0.0033Ni0.0006Cr0.001
84,8.0,0.0,30.0,0.0,245.0,0.0,0.0,1740.0,885.0,30.0,0.0,0.0,0.07,30.0,0.0,0.0,30.0,30.0,Fe0.98859C0.0027Mn0.0054Cu0.0002Si0.0025P0.0002S0.00021Cr0.0002
